Name,Place,Division,Sex,Equipment,WeightClassKg,BodyweightKg,Age,BestSquatKg,Squat4Kg,BestBenchKg,Bench4Kg,BestDeadliftKg,Deadlift4Kg,TotalKg,Wilks,Event,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Squat1Kg,Squat2Kg,Squat3Kg,McCulloch
Nellie Rego Santee,1,Open Women,F,Raw,51.71,50.17,26,82.5,,45,,97.5,,225,288.31,,,,,,,,,,,288.31
Vanessa Alvares,1,Open Women,F,Raw,55.79,54.48,35,100,110,45,,132.5,,277.5,333.638,,,,,,,,,,,333.64
Mirian Fernandes,1,Open Women,F,Raw,82.1,78.06,45,160,,80,,150,160,390,361.873,,,,,,,,,,,381.78
Cristiane Soldera,2,Open Women,F,Raw,82.1,80.88,41,115,120,60,,130,145,305,277.41,,,,,,,,,,,280.18
Lualis Rosa,3,Open Women,F,Raw,82.1,81.28,29,70,,50,,120,,240,217.696,,,,,,,,,,,217.70
Debora Diegas Lopes,1,Open Women,F,Raw,89.81,83.69,36,155,,95,,170,185,420,375.229,,,,,,,,,,,375.23
Vanessa Alvares,1,Submaster Women 35-39,F,Raw,55.79,54.48,35,100,110,45,,132.5,,277.5,336.974,,,,,,,,,,,336.97
Debora Diegas Lopes,1,Submaster Women 35-39,F,Raw,89.81,83.69,36,155,,95,,170,185,420,382.733,,,,,,,,,,,382.73
Cristiane Soldera,1,Master Women 40-44,F,Raw,82.1,80.88,41,115,120,60,,130,145,305,280.184,,,,,,,,,,,282.99
Mirian Fernandes,1,Master Women 45-49,F,Raw,82.1,78.06,45,160,,80,,150,160,390,381.776,,,,,,,,,,,402.77
Fernando Villela Botelho,1,Open Men,M,Raw,67.13,66.09,39,150,,110,,200,210,460,360.79,,,,,,,,,,,360.79
Lucas Macri,2,Open Men,M,Raw,67.13,66.09,25,130,,115,,195,,440,345.104,,,,,,,,,,,345.10
Denis Lopardo de Campos,1,Open Men,M,Raw,82.1,79.9,37,155,172.5,117.5,,200,,472.5,322.827,,,,,,,,,,,322.83
Vinicius Goncalves Barbosa,2,Open Men,M,Raw,82.1,80.56,28,170,175,105,,195,200,470,319.471,,,,,,,,,,,319.47
Joao Cunha Braga Neto,3,Open Men,M,Raw,82.1,75.8,24,160,175,110,,180,,450,318.322,,,,,,,,,,,318.32
Pedro Holanda Junqueira,4,Open Men,M,Raw,82.1,82.1,30,142.5,,87.5,,180,,410,275.463,,,,,,,,,,,275.46
